Greater Capital City,Number of Tweets Made
1gsyd (Greater Sydney),30319
2gmel (Greater Melbourne),32982
3gbri (Greater Brisbane),10158
4gade (Greater Adelaide),7431
5gper (Greater Perth),7169
6ghob (Greater Hobart),727
7gdar (Greater Darwin),504
8acte (Australian Capital Territory),2677
9oter (Other Territories),1
