Rank,Author Id,Number of Tweets Made
1,58194459,605
2,778785859030003712,492
3,820431428835885059,462
4,1381214332114010114,429
5,765638249125703681,394
6,1135850507606478848,393
7,1624641818,378
8,67308556,362
9,1250331934242123776,317
10,7050962,310
